city,taluka,area
Raigad,Raigad Urban,Udaybasti Extension
Ratnagiri,Ratnagiri West,Dhayari Colony
Sindhudurg,Sindhudurg South,Lakenagar North
Palghar,Palghar North,Saipura Industrial
Buldhana,Buldhana West,Rajavihar West
Nandurbar,Nandurbar Central,Chembur Road
Dhule,Dhule South,Rajamandi Industrial
Jalna,Jalna South,Prakashmandi Extension
Osmanabad,Osmanabad Central,Vasantbagh Extension
Hingoli,Hingoli Taluka-2,Rajawadi East 1
Washim,Washim Taluka-2,Yerawada Nagar
Yavatmal,Yavatmal Taluka-3,Koregaon Park Bazar
Bhandara,Bhandara Taluka-3,Manjari Bazar
Gondia,Gondia Taluka-2,Ghatkopar
Gadchiroli,Gadchiroli North,Anandvihar Residential
Chandrapur,Chandrapur Taluka-3,Udaybasti Phase-1 1
Bid,Bid East,Vasantmandi North
Miraj,Miraj Taluka-1,Shivmarket South
Ichalkaranji,Ichalkaranji Urban,Sagargalli West
Pandharpur,Pandharpur North,Kurla
Pune,Pune West,Newnagar South
Mumbai,Mumbai Rural,Nigdi Layout
Nagpur,Nagpur West,Shivaji Nagar Road
Nashik,Nashik West,Colaba
Aurangabad,Aurangabad North,Kasba Peth Road
Kolhapur,Kolhapur West,Nigdi Bazar
Solapur,Solapur Taluka-1,Andheri Market
Sangli,Sangli Urban,Borivali Market
Satara,Satara South,Anandchowk Phase-2
Jalgaon,Jalgaon Taluka-3,Akurdi Road
Amravati,Amravati Taluka-2,Pashan Society
Pimpri-Chinchwad,Pimpri-Chinchwad Rural,Kharadi
Thane,Thane Taluka-1,Bhosari Road
Navi Mumbai,Navi Mumbai North,Fursungi
Akola,Akola Urban,Greenbasti Industrial
Wardha,Wardha Taluka-1,Pashan Road
Beed,Beed Central,Chinchwad Nagar
Latur,Latur Taluka-1,Hadapsar Nagar
Nanded,Nanded West,Chembur Road
Parbhani,Parbhani Rural,Magarpatta Market
Raigad,Raigad Rural,Shivaji Nagar
Ratnagiri,Ratnagiri Taluka-1,Prakashwadi Residential
Sindhudurg,Sindhudurg West,Kurla Nagar
Palghar,Palghar South,Juhu Market
Buldhana,Buldhana Urban,Oldpur West
Nandurbar,Nandurbar West,Oldmarket North
Dhule,Dhule West,Prakashmandi Residential
Jalna,Jalna Taluka-1,Lower Parel Layout
Osmanabad,Osmanabad Rural,Kondhwa Society
Hingoli,Hingoli Taluka-1,Rajapur East
Washim,Washim Urban,Lower Parel Society
Yavatmal,Yavatmal Rural,Chinchwad Society
Bhandara,Bhandara East,Prakashwadi Phase-2
Gondia,Gondia Central,Sagargalli South
Gadchiroli,Gadchiroli Taluka-2,Mulund
Chandrapur,Chandrapur Taluka-3,Ramgalli East 16
Bid,Bid Taluka-2,Pimple Saudagar Market
Miraj,Miraj West,FC Road Road
Ichalkaranji,Ichalkaranji Taluka-2,Saigaon North
Pandharpur,Pandharpur South,Rammandi South
Pune,Pune Central,FC Road Layout
Mumbai,Mumbai West,Netajibasti Central
Nagpur,Nagpur Taluka-1,Rajamarket Residential
Nashik,Nashik Urban,Koregaon Park Bazar
Aurangabad,Aurangabad Taluka-3,Rambagh Central 13
Kolhapur,Kolhapur West,Akurdi Layout
Solapur,Solapur Urban,Gandhipeth South
Sangli,Sangli Taluka-3,Shreegaon Residential
Satara,Satara Taluka-1,Juhu Colony
Jalgaon,Jalgaon Taluka-1,Khar Bazar
Amravati,Amravati Taluka-3,Kasba Peth Road
Pimpri-Chinchwad,Pimpri-Chinchwad South,Gandhigaon Extension
Thane,Thane Taluka-2,Ganeshpura Industrial
Navi Mumbai,Navi Mumbai Rural,Bhosari Market
Akola,Akola East,Udaypeth Phase-2
Wardha,Wardha West,Byculla Layout
Beed,Beed West,Prakashmarket North
Latur,Latur Taluka-2,Chinchwad Market
Nanded,Nanded Taluka-3,FC Road Colony
Parbhani,Parbhani West,Greenwadi Phase-1
Raigad,Raigad West,Fursungi Society
Ratnagiri,Ratnagiri Taluka-1,Shantibagh Phase-1
Sindhudurg,Sindhudurg Taluka-1,Sagarwadi Phase-2
Palghar,Palghar Urban,Newcolony Residential
Buldhana,Buldhana North,Kurla Layout
Nandurbar,Nandurbar Taluka-1,Ganeshbasti Phase-2
Dhule,Dhule West,Chinchwad Layout
Jalna,Jalna South,Shivmarket Central
Osmanabad,Osmanabad Taluka-3,Colaba Nagar 19
Hingoli,Hingoli Taluka-1,Ambegaon Layout
Washim,Washim East,Lakelayout South
Yavatmal,Yavatmal West,Ganeshnagar Residential
Bhandara,Bhandara Taluka-2,Vile Parle Bazar
Gondia,Gondia Taluka-2,Gayatribagh Extension 6
Gadchiroli,Gadchiroli East,Anandgalli West
Chandrapur,Chandrapur Taluka-1,Shreepura Central
Bid,Bid Central,Gardennagar South
Miraj,Miraj Central,Wanowrie Market
Ichalkaranji,Ichalkaranji Taluka-1,Sus Market
Pandharpur,Pandharpur Urban,Magarpatta Colony
Pune,Pune South,Pimpri Society
Mumbai,Mumbai Rural,Hadapsar Society
Nagpur,Nagpur South,Ghatkopar
Nashik,Nashik South,Shreemandi West
Aurangabad,Aurangabad North,Wagholi Society 12
Kolhapur,Kolhapur South,Kurla Market
Solapur,Solapur South,Dhayari
Sangli,Sangli Central,Vijaymarket Central 9
Satara,Satara Taluka-1,Greengaon Extension
Jalgaon,Jalgaon Rural,Santlayout Phase-2
Amravati,Amravati West,Ramchowk Residential
Pimpri-Chinchwad,Pimpri-Chinchwad Rural,Newvihar Phase-2
Thane,Thane Taluka-1,Netajimarket Central
Navi Mumbai,Navi Mumbai Rural,Worli Layout
Akola,Akola Central,Bandra Colony 6
Wardha,Wardha East,Ramcolony East
Beed,Beed Central,Kharadi Road
Latur,Latur Taluka-2,Andheri Society 6
Nanded,Nanded West,Undri Bazar
Parbhani,Parbhani Taluka-2,Yerawada Colony
Raigad,Raigad North,Sagarmarket Phase-1
Ratnagiri,Ratnagiri Taluka-1,Hillchowk East
Sindhudurg,Sindhudurg West,Akurdi Bazar
Palghar,Palghar North,Newgalli North 15
Buldhana,Buldhana Taluka-2,Narhe Layout
Nandurbar,Nandurbar Taluka-2,Ambegaon
Dhule,Dhule South,Udaypura Phase-1
Jalna,Jalna Rural,Colaba Nagar
Osmanabad,Osmanabad Central,Udaygaon North
Hingoli,Hingoli Taluka-1,Aundh Nagar
Washim,Washim Urban,Kothrud Road
Yavatmal,Yavatmal Urban,Gandhiwadi Industrial
Bhandara,Bhandara East,Greenpeth Phase-1 12
Gondia,Gondia Taluka-1,Byculla Market 18
Gadchiroli,Gadchiroli East,Camp Road
Chandrapur,Chandrapur Taluka-2,Krishnanagar Industrial
Bid,Bid Taluka-2,Lakegalli South
Miraj,Miraj West,Dhayari Colony
Ichalkaranji,Ichalkaranji Central,Oldgaon West
Pandharpur,Pandharpur Taluka-2,Netajilayout Central
Pune,Pune Central,Dadar Market
Mumbai,Mumbai Taluka-2,Yerawada Colony
Nagpur,Nagpur Taluka-1,Vasantpeth East
Nashik,Nashik Central,Wanowrie Road 1
Aurangabad,Aurangabad Urban,Udayvihar Industrial
Kolhapur,Kolhapur Taluka-1,Baner Society
Solapur,Solapur West,Anandmandi West
Sangli,Sangli West,Anandbagh Industrial
Satara,Satara Taluka-1,Rivergalli Central
Jalgaon,Jalgaon South,Mulund Road
Amravati,Amravati Taluka-3,Kharadi Nagar
Pimpri-Chinchwad,Pimpri-Chinchwad Taluka-2,Shreebagh West
Thane,Thane Taluka-3,Udayvihar West
Navi Mumbai,Navi Mumbai North,Mulund Colony
Akola,Akola Central,Worli
Wardha,Wardha East,Saipeth Residential
Beed,Beed Central,Balewadi Colony
Latur,Latur East,Pimple Saudagar Bazar
Nanded,Nanded Taluka-2,Mulund Colony 5
Parbhani,Parbhani Taluka-1,Yerawada Colony
Raigad,Raigad Urban,Chinchwad Bazar
Ratnagiri,Ratnagiri Taluka-2,Gardengaon Residential
Sindhudurg,Sindhudurg West,Pashan Society
Palghar,Palghar South,Newmandi Residential
Buldhana,Buldhana North,Santbagh Phase-1
Nandurbar,Nandurbar Central,Rajbasti Phase-2
Dhule,Dhule Taluka-1,Newcolony Extension
Jalna,Jalna Central,Shivpeth North 20
Osmanabad,Osmanabad Taluka-1,Kurla Nagar
Hingoli,Hingoli Taluka-3,Gayatrimandi Extension
Washim,Washim Taluka-2,Akurdi Society
Yavatmal,Yavatmal Rural,Saipura Phase-2
Bhandara,Bhandara North,Worli Road
Gondia,Gondia Taluka-1,Ramnagar North 7
Gadchiroli,Gadchiroli Urban,Fursungi
Chandrapur,Chandrapur East,Chembur Society 10
Bid,Bid East,Chinchwad 14
Miraj,Miraj Taluka-2,Fursungi Nagar
Ichalkaranji,Ichalkaranji Rural,Hillpur Phase-1
Pandharpur,Pandharpur Rural,Kurla Nagar
Pune,Pune Taluka-3,Shreewadi Phase-2 11
Mumbai,Mumbai West,Chinchwad Bazar 12
Nagpur,Nagpur Taluka-1,Bandra Market
Nashik,Nashik West,Gardenvihar Phase-2
Aurangabad,Aurangabad Taluka-3,Gandhipur Phase-1
Kolhapur,Kolhapur Taluka-2,Gayatrigalli Phase-1
Solapur,Solapur North,Newmarket Phase-2
Sangli,Sangli East,Rambagh Extension
Satara,Satara West,Fursungi 17
Jalgaon,Jalgaon Central,Shantibagh Industrial
Amravati,Amravati East,Netajipura South
Pimpri-Chinchwad,Pimpri-Chinchwad Urban,Rajgaon Phase-1
Thane,Thane Taluka-2,Vasantgalli North
Navi Mumbai,Navi Mumbai South,Colaba Colony
Akola,Akola Taluka-2,Chembur Market
Wardha,Wardha Taluka-3,Rampur Industrial
Beed,Beed West,Khar
Latur,Latur Urban,Gayatribasti Central
Nanded,Nanded Taluka-2,Ghatkopar Market 19
Parbhani,Parbhani Urban,Bavdhan Road
Raigad,Raigad West,Pashan Colony
Ratnagiri,Ratnagiri Central,Lakemarket East
Sindhudurg,Sindhudurg Taluka-1,Saichowk Phase-2
Palghar,Palghar Urban,Undri Bazar
Buldhana,Buldhana Taluka-1,Worli Society
Nandurbar,Nandurbar Urban,Santwadi Extension
Dhule,Dhule West,Undri Nagar
Jalna,Jalna Central,Vasantcolony Central
Osmanabad,Osmanabad East,Magarpatta Bazar
Hingoli,Hingoli Rural,Santgalli Extension
Washim,Washim Taluka-3,Rajmandi Central
Yavatmal,Yavatmal South,Shreepeth Industrial
Bhandara,Bhandara West,Netajiwadi South
Gondia,Gondia Central,Rivermarket Residential 10
Gadchiroli,Gadchiroli Central,Udaycolony South
Chandrapur,Chandrapur Central,Rajamandi South
Bid,Bid Central,Andheri Colony
Miraj,Miraj Taluka-1,Gandhiwadi South
Ichalkaranji,Ichalkaranji Taluka-2,Katraj Colony
Pandharpur,Pandharpur Urban,Kondhwa Bazar
Pune,Pune Taluka-3,Khar Society
Mumbai,Mumbai Taluka-3,Kalyani Nagar Bazar
Nagpur,Nagpur Taluka-1,Rajcolony Industrial
Nashik,Nashik North,Aundh Nagar
Aurangabad,Aurangabad Central,Shivaji Nagar
Kolhapur,Kolhapur North,Gayatrimarket West
Solapur,Solapur Taluka-1,Anandcolony Central
Sangli,Sangli West,Hilllayout South
Satara,Satara Rural,Borivali
Jalgaon,Jalgaon Rural,Pimpri Road
Amravati,Amravati West,Netajipura West 10
Pimpri-Chinchwad,Pimpri-Chinchwad Rural,Undri Society
Thane,Thane Taluka-1,Ganeshpeth Extension
Navi Mumbai,Navi Mumbai Rural,Aundh Bazar
Akola,Akola Urban,Rambasti North
Wardha,Wardha North,Pimple Saudagar Nagar
Beed,Beed North,Vijaywadi East
Latur,Latur Taluka-2,Ramgalli West
Nanded,Nanded West,Baner Nagar
Parbhani,Parbhani Taluka-2,Gandhicolony Phase-1
Raigad,Raigad West,Rajbasti Residential 1
Ratnagiri,Ratnagiri West,Shreebagh West 16
Sindhudurg,Sindhudurg Taluka-1,Sus Nagar
Palghar,Palghar South,Hadapsar Colony
Buldhana,Buldhana North,Hillmandi Phase-2
Nandurbar,Nandurbar Taluka-2,Manjari Layout
Dhule,Dhule Rural,Rambagh North
Jalna,Jalna South,Gardenchowk Central
Osmanabad,Osmanabad Taluka-3,Aundh Road
Hingoli,Hingoli Taluka-2,Udaybagh East
Washim,Washim Taluka-3,Wagholi Nagar 11
Yavatmal,Yavatmal Urban,Netajimandi South 4
Bhandara,Bhandara Taluka-2,Santpura Central
Gondia,Gondia Central,Lakemandi Residential
Gadchiroli,Gadchiroli Taluka-2,Lower Parel
Chandrapur,Chandrapur Taluka-2,Rajacolony Industrial
Bid,Bid Taluka-2,Lohegaon Society
Miraj,Miraj Taluka-1,Kharadi Society
Ichalkaranji,Ichalkaranji Urban,Koregaon Park Nagar
Pandharpur,Pandharpur Taluka-2,Rajmarket East
Pune,Pune Central,Rajagalli Phase-1
Mumbai,Mumbai West,Hillpur Extension
Nagpur,Nagpur Taluka-2,Viman Nagar Bazar
Nashik,Nashik South,Santpeth Phase-1
Aurangabad,Aurangabad Taluka-3,Sagarwadi Extension
Kolhapur,Kolhapur Urban,Udaylayout Central
Solapur,Solapur West,Pimple Saudagar
Sangli,Sangli Urban,Kalyani Nagar Road
Satara,Satara West,Greengaon East
Jalgaon,Jalgaon Urban,Juhu Bazar 17
Amravati,Amravati West,Sus Nagar
Pimpri-Chinchwad,Pimpri-Chinchwad North,Rajagaon Extension
Thane,Thane South,Narhe Market
Navi Mumbai,Navi Mumbai East,Kasba Peth Colony
Akola,Akola East,Vasantgaon Extension 6
Wardha,Wardha East,Vijaychowk Industrial
Beed,Beed Urban,Undri Layout
Latur,Latur Urban,Fursungi
Nanded,Nanded West,Anandbagh Extension
Parbhani,Parbhani Taluka-1,Shanticolony North
Raigad,Raigad West,Kondhwa
Ratnagiri,Ratnagiri West,Vijaywadi East
Sindhudurg,Sindhudurg South,Greenpur Extension
Palghar,Palghar South,Bavdhan
Buldhana,Buldhana Taluka-2,Krishnagaon Phase-1
Nandurbar,Nandurbar West,Pashan Colony
Dhule,Dhule Urban,Juhu Layout
Jalna,Jalna Taluka-1,Yerawada Road
Osmanabad,Osmanabad Central,Yerawada Nagar
Hingoli,Hingoli Taluka-3,Magarpatta Bazar
Washim,Washim East,Kalyani Nagar Colony 18
Yavatmal,Yavatmal Rural,Ganeshvihar Industrial
Bhandara,Bhandara Taluka-2,Shreegalli Phase-1
Gondia,Gondia Rural,Dhayari Layout
Gadchiroli,Gadchiroli North,Koregaon Park Bazar
Chandrapur,Chandrapur Taluka-2,Vijaychowk Phase-2 9
Bid,Bid Urban,Krishnapura Central
Miraj,Miraj Central,Hadapsar Society
Ichalkaranji,Ichalkaranji North,Shivbagh Extension
Pandharpur,Pandharpur Rural,Kasba Peth Colony
Pune,Pune Taluka-2,Akurdi Colony
Mumbai,Mumbai Taluka-3,Dhayari Road
Nagpur,Nagpur West,Wagholi
Nashik,Nashik East,Bavdhan Nagar
Aurangabad,Aurangabad Taluka-3,Chembur Nagar
Kolhapur,Kolhapur Taluka-3,Pashan Colony
Solapur,Solapur West,Kondhwa Society
Sangli,Sangli Taluka-3,Lakebasti South
Satara,Satara Taluka-1,Viman Nagar Road
Jalgaon,Jalgaon Central,Newgalli Extension
Amravati,Amravati East,Hillcolony South 3
Pimpri-Chinchwad,Pimpri-Chinchwad Taluka-1,Hillvihar Residential
Thane,Thane Central,Sus Society
Navi Mumbai,Navi Mumbai Taluka-1,Baner Bazar 3
Akola,Akola Central,FC Road Layout
Wardha,Wardha Rural,Kalyani Nagar Society
Beed,Beed West,Shantipeth Phase-1
Latur,Latur East,Anandpeth Extension
Nanded,Nanded Central,Narhe Layout
Parbhani,Parbhani North,Pashan Road
Raigad,Raigad North,Vasantmandi Phase-2
Ratnagiri,Ratnagiri Central,Ganeshlayout West
Sindhudurg,Sindhudurg West,Pimpri Layout
Palghar,Palghar Taluka-1,Koregaon Park Nagar 6
Buldhana,Buldhana South,Dhayari Colony
Nandurbar,Nandurbar East,Kothrud Colony
Dhule,Dhule South,Pimpri Road 10
Jalna,Jalna Rural,Bavdhan Road
Osmanabad,Osmanabad East,Katraj Layout
Hingoli,Hingoli East,Byculla Bazar
Washim,Washim Taluka-3,Oldpeth Extension 3
Yavatmal,Yavatmal West,Hinjawadi Bazar
Bhandara,Bhandara North,Vasantwadi Phase-2
Gondia,Gondia Taluka-3,Balewadi Colony
Gadchiroli,Gadchiroli West,Bhosari Layout
Chandrapur,Chandrapur Rural,Shivaji Nagar Nagar
Bid,Bid Central,Hillcolony Residential
Miraj,Miraj Taluka-2,Greenbasti Industrial
Ichalkaranji,Ichalkaranji North,Hadapsar Road
Pandharpur,Pandharpur Rural,Bavdhan Nagar
Pune,Pune West,Saibasti Industrial
Mumbai,Mumbai Urban,Wakad Society
Nagpur,Nagpur West,Pimple Saudagar Colony
Nashik,Nashik North,Greenbagh East
Aurangabad,Aurangabad Taluka-3,Hinjawadi Market
Kolhapur,Kolhapur West,Juhu Nagar
Solapur,Solapur South,Bavdhan
Sangli,Sangli Central,Pashan Society
Satara,Satara Central,Byculla Nagar
Jalgaon,Jalgaon Rural,Byculla Society
Amravati,Amravati Taluka-3,Krishnabagh Residential
Pimpri-Chinchwad,Pimpri-Chinchwad Taluka-2,Wakad Layout
Thane,Thane Central,Wagholi Colony 13
Navi Mumbai,Navi Mumbai Urban,Lakemandi South
Akola,Akola Central,Wanowrie Society
Wardha,Wardha Rural,Sus Layout
Beed,Beed North,Greengaon Residential
Latur,Latur Urban,Rajapeth Residential 14
Nanded,Nanded South,Wanowrie
Parbhani,Parbhani Urban,Anandwadi East
Raigad,Raigad Urban,Yerawada Society
Ratnagiri,Ratnagiri Taluka-1,Bhosari Colony
Sindhudurg,Sindhudurg Taluka-3,Borivali Market
Palghar,Palghar South,Newlayout East
Buldhana,Buldhana South,Shivaji Nagar Bazar
Nandurbar,Nandurbar Urban,Hadapsar
Dhule,Dhule East,Vile Parle Colony
Jalna,Jalna South,Ramwadi South
Osmanabad,Osmanabad North,Lakegalli South
Hingoli,Hingoli Taluka-2,Netajimandi East 20
Washim,Washim Urban,Kurla Market
Yavatmal,Yavatmal West,Wagholi Bazar 10
Bhandara,Bhandara North,Vijaybasti East
Gondia,Gondia North,Juhu Bazar
Gadchiroli,Gadchiroli Urban,Ramgaon Phase-2
Chandrapur,Chandrapur Taluka-1,Manjari Society
Bid,Bid East,Kalyani Nagar Society
Miraj,Miraj Taluka-3,Baner
Ichalkaranji,Ichalkaranji Central,Greengaon South
Pandharpur,Pandharpur North,Khar Colony
Pune,Pune Taluka-3,Juhu
Mumbai,Mumbai Taluka-2,Koregaon Park Nagar
Nagpur,Nagpur Taluka-1,Worli Nagar
Nashik,Nashik North,Aundh
Aurangabad,Aurangabad Central,Shanticolony North
Kolhapur,Kolhapur Taluka-2,Camp Road
Solapur,Solapur Central,Lakebasti Extension
Sangli,Sangli Taluka-3,Newchowk North 2
Satara,Satara East,Sagarwadi South
Jalgaon,Jalgaon South,Shanticolony Residential
Amravati,Amravati Taluka-2,Byculla 10
Pimpri-Chinchwad,Pimpri-Chinchwad East,Kasba Peth Colony
Thane,Thane South,Dhayari Colony
Navi Mumbai,Navi Mumbai Taluka-2,Mulund Layout 16
Akola,Akola East,Fursungi Bazar 7
Wardha,Wardha North,Worli Colony 20
Beed,Beed Urban,Aundh Road 8
Latur,Latur East,Anandgalli North
Nanded,Nanded Taluka-3,Ramnagar North
Parbhani,Parbhani Taluka-2,Bavdhan Nagar
Raigad,Raigad Urban,Kothrud Society
Ratnagiri,Ratnagiri Taluka-1,Rajpur West
Sindhudurg,Sindhudurg South,Rajagalli Industrial
Palghar,Palghar Taluka-1,Fursungi Society
Buldhana,Buldhana East,Lakevihar North
Nandurbar,Nandurbar East,Khar Bazar
Dhule,Dhule South,Pimpri
Jalna,Jalna Central,Juhu
Osmanabad,Osmanabad East,Andheri Market
Hingoli,Hingoli Taluka-2,Pimple Saudagar Bazar
Washim,Washim Urban,Gayatricolony West
Yavatmal,Yavatmal South,Hillmarket East
Bhandara,Bhandara North,Krishnanagar Extension
Gondia,Gondia Rural,Bavdhan Layout
Gadchiroli,Gadchiroli Urban,Shantipeth Residential
Chandrapur,Chandrapur East,Santgalli East
Bid,Bid Taluka-2,Balewadi Bazar
Miraj,Miraj Central,Wakad Society
Ichalkaranji,Ichalkaranji South,Hilllayout Central
Pandharpur,Pandharpur Taluka-2,Kharadi Nagar
Pune,Pune Urban,Shanticolony West 16
Mumbai,Mumbai Taluka-2,Kalyani Nagar Colony
Nagpur,Nagpur South,Kharadi Nagar
Nashik,Nashik Urban,Hadapsar Bazar
Aurangabad,Aurangabad South,Prakashpura Residential
Kolhapur,Kolhapur West,Hillgaon North
Solapur,Solapur Central,Vijaypeth Industrial 8
Sangli,Sangli Central,Oldgalli Central
Satara,Satara East,Gardenbasti Phase-1
Jalgaon,Jalgaon Urban,Shantipura Residential
Amravati,Amravati Taluka-2,Udaygaon South
Pimpri-Chinchwad,Pimpri-Chinchwad Taluka-3,Balewadi Colony
Thane,Thane Urban,Anandpura Phase-1
Navi Mumbai,Navi Mumbai Urban,Kasba Peth Nagar
Akola,Akola Central,Krishnawadi Phase-2
Wardha,Wardha Taluka-1,Bavdhan Layout
Beed,Beed Rural,Vasantpur South
Latur,Latur Taluka-1,Aundh Market
Nanded,Nanded Central,Anandmarket Industrial
Parbhani,Parbhani Taluka-3,Ambegaon Nagar
Raigad,Raigad West,Santnagar Phase-1 7
Ratnagiri,Ratnagiri Central,Shantichowk Phase-2
Sindhudurg,Sindhudurg Taluka-1,Nigdi Road
Palghar,Palghar South,Udaypur Industrial
Buldhana,Buldhana North,Riverpeth Central
Nandurbar,Nandurbar Taluka-2,Pimple Saudagar Layout 15
Dhule,Dhule East,Oldpur East 15
Jalna,Jalna South,Gardenvihar East 1
Osmanabad,Osmanabad West,Rajagalli South
Hingoli,Hingoli East,Krishnagaon North 12
Washim,Washim Urban,Oldlayout Phase-2
Yavatmal,Yavatmal Urban,Magarpatta Nagar
Bhandara,Bhandara East,Chinchwad Market
Gondia,Gondia Taluka-1,Balewadi 11
Gadchiroli,Gadchiroli Urban,Vile Parle Nagar
Chandrapur,Chandrapur East,Dhayari
Bid,Bid East,Fursungi Layout 17
Miraj,Miraj Taluka-2,Lower Parel Bazar
Ichalkaranji,Ichalkaranji North,Oldpura West
Pandharpur,Pandharpur North,Viman Nagar Society
Pune,Pune Rural,Lakewadi Phase-1
Mumbai,Mumbai West,Juhu Colony
Nagpur,Nagpur South,Sagarbagh Phase-2
Nashik,Nashik South,Krishnamandi South
Aurangabad,Aurangabad Urban,Nigdi Road
Kolhapur,Kolhapur Central,Rajanagar Central
Solapur,Solapur North,Udaybasti South 8
Sangli,Sangli Central,Greenpeth Extension
Satara,Satara Taluka-1,Hillbagh Central
Jalgaon,Jalgaon Central,Newpeth Central
Amravati,Amravati Central,Balewadi Colony
Pimpri-Chinchwad,Pimpri-Chinchwad Taluka-3,Colaba
Thane,Thane Urban,Lower Parel Layout 12
Navi Mumbai,Navi Mumbai South,Rajamarket Industrial
Akola,Akola Urban,Vijaymarket Central
Wardha,Wardha West,Kothrud Nagar
Beed,Beed Central,Gardencolony Residential
Latur,Latur Taluka-2,Kasba Peth Market
Nanded,Nanded Central,Dadar Road
Parbhani,Parbhani North,Narhe Road
Raigad,Raigad Rural,Greenlayout East
Ratnagiri,Ratnagiri West,Ganeshpur Industrial
Sindhudurg,Sindhudurg West,Wanowrie Layout
Palghar,Palghar Taluka-1,Dadar Bazar
Buldhana,Buldhana North,Shreegaon Phase-1
Nandurbar,Nandurbar Central,Sagarnagar Central
Dhule,Dhule Rural,Santbagh Central 13
Jalna,Jalna Central,Yerawada Market
Osmanabad,Osmanabad Taluka-2,Juhu Colony
Hingoli,Hingoli East,Katraj Layout
Washim,Washim Taluka-2,Udaychowk West
Yavatmal,Yavatmal Rural,Hadapsar Bazar
Bhandara,Bhandara South,Vijaycolony Phase-2 19
Gondia,Gondia North,Sagarpeth Phase-1
Gadchiroli,Gadchiroli West,Rambasti South
Chandrapur,Chandrapur Taluka-1,Bavdhan Society
Bid,Bid Urban,Krishnapeth South
Miraj,Miraj North,Colaba Colony
Ichalkaranji,Ichalkaranji South,Gayatripura Extension
Pandharpur,Pandharpur Taluka-3,Newpur Phase-1 9
Pune,Pune Rural,Gardenpura Residential
Mumbai,Mumbai Rural,Saibasti Residential
Nagpur,Nagpur West,Worli Colony
Nashik,Nashik South,Wakad Nagar
Aurangabad,Aurangabad North,Baner Market
Kolhapur,Kolhapur North,Worli Bazar
Solapur,Solapur Central,Andheri Market
Sangli,Sangli North,Kharadi Colony
Satara,Satara South,Khar Colony
Jalgaon,Jalgaon Central,Hadapsar Road
Amravati,Amravati East,Kothrud
Pimpri-Chinchwad,Pimpri-Chinchwad Taluka-2,Byculla
Thane,Thane Central,Greencolony Industrial
Navi Mumbai,Navi Mumbai Central,Hadapsar Society
Akola,Akola East,Sagarpur Residential
Wardha,Wardha West,Gandhivihar Residential
Beed,Beed North,Balewadi Colony
Latur,Latur Taluka-1,Hillmandi Residential
Nanded,Nanded Taluka-2,Vasantlayout Phase-2
Parbhani,Parbhani West,Anandvihar Central
Raigad,Raigad North,Netajigaon Phase-2
Ratnagiri,Ratnagiri Central,Shreegalli West
Sindhudurg,Sindhudurg West,Byculla Society
Palghar,Palghar Taluka-1,Pimpri Market
